FECHA;T. Máxima;T.Mínima
06/04/2022;;
07/04/2022;21.7;13.6
08/04/2022;22;15.4
09/04/2022;21.7;14.8
10/04/2022;21.4;14.2
11/04/2022;23.7;15.4
12/04/2022;21.3;16.7
13/04/2022;23;17.4
14/04/2022;23.5;17
15/04/2022;24.1;14.6
16/04/2022;25.4;15.6
17/04/2022;34.8;16.2
18/04/2022;30.9;18.9
19/04/2022;24.2;17.1
20/04/2022;23.3;16.9
21/04/2022;22.1;17.2
22/04/2022;22.5;15.3
23/04/2022;22.6;14.3
24/04/2022;21.5;14.8
25/04/2022;21.5;15.4
26/04/2022;;
27/04/2022;23.1;16.3
28/04/2022;23.4;14.9
29/04/2022;23;17.2
30/04/2022;24.6;14.9
01/05/2022;25.3;16
02/05/2022;24.4;15.6
03/05/2022;23;17.2
04/05/2022;22.9;17.6
05/05/2022;23.6;15.9
06/05/2022;24.5;14.5
07/05/2022;24.7;15.5
08/05/2022;25.1;16.5
09/05/2022;26.4;15.8
10/05/2022;30.3;17.3
11/05/2022;25.4;16.4
12/05/2022;24.3;16.8
13/05/2022;;
14/05/2022;24.9;18.1
15/05/2022;25.9;17.8
16/05/2022;25.2;15.3
17/05/2022;25.7;16.8
18/05/2022;25.9;18.8
19/05/2022;26.8;19.6
20/05/2022;26.6;18.1
21/05/2022;25.8;19.5
22/05/2022;25.5;17.5
23/05/2022;26.2;17.5
24/05/2022;25.6;19
25/05/2022;25.8;19.4
26/05/2022;25.6;17
27/05/2022;25.6;18.6
28/05/2022;25.1;18.9
29/05/2022;25.2;17.5
30/05/2022;25.6;16.1
31/05/2022;24.6;18.5
01/06/2022;26.8;18
02/06/2022;26.8;17
03/06/2022;24.6;18.6
04/06/2022;26.2;19.2
05/06/2022;26.3;18.5
06/06/2022;26;18.4
07/06/2022;26.8;17.1
08/06/2022;27.6;17.7
09/06/2022;28;18.7
10/06/2022;26.8;19
11/06/2022;27.6;19.2
12/06/2022;27.1;20.2
13/06/2022;26.6;20.2
14/06/2022;26.4;18.5
15/06/2022;26.8;18.5
16/06/2022;26.7;18.2
17/06/2022;27;18.9
18/06/2022;26.9;20.1
