,AÑO,MES,DIA,Fecha_Foto,PAX_ESTANCIAS
0,2022.0,4.0,6.0,15-02-2024,1640.919294351123
1,2022.0,4.0,7.0,15-02-2024,1732.6890340382065
2,2022.0,4.0,8.0,15-02-2024,1742.7957559178985
3,2022.0,4.0,9.0,15-02-2024,1807.6567500905087
4,2022.0,4.0,10.0,15-02-2024,1840.9966109274112
5,2022.0,4.0,11.0,15-02-2024,1907.6065939802688
6,2022.0,4.0,12.0,15-02-2024,1899.2866043438653
7,2022.0,4.0,13.0,15-02-2024,1875.3580061591426
8,2022.0,4.0,14.0,15-02-2024,1929.2033091645956
9,2022.0,4.0,15.0,15-02-2024,1934.6075984384872
10,2022.0,4.0,16.0,15-02-2024,1947.726862997383
11,2022.0,4.0,17.0,15-02-2024,1754.0224217457016
12,2022.0,4.0,18.0,15-02-2024,1606.4398902036576
13,2022.0,4.0,19.0,15-02-2024,1868.3833915751147
14,2022.0,4.0,20.0,15-02-2024,1736.3373064299992
15,2022.0,4.0,21.0,15-02-2024,1768.5330180528645
16,2022.0,4.0,22.0,15-02-2024,1745.09235209282
17,2022.0,4.0,23.0,15-02-2024,1616.6395870733174
18,2022.0,4.0,24.0,15-02-2024,1453.0190246069687
19,2022.0,4.0,25.0,15-02-2024,1499.3284411517286
20,2022.0,4.0,26.0,15-02-2024,1389.5047771337777
21,2022.0,4.0,27.0,15-02-2024,1462.9428457940578
22,2022.0,4.0,28.0,15-02-2024,1483.6772917381236
23,2022.0,4.0,29.0,15-02-2024,1511.3194718414488
24,2022.0,4.0,30.0,15-02-2024,1571.9211467038408
25,2022.0,5.0,1.0,15-02-2024,1492.3269719497507
26,2022.0,5.0,2.0,15-02-2024,1464.457982019722
27,2022.0,5.0,3.0,15-02-2024,1424.3561955727885
28,2022.0,5.0,4.0,15-02-2024,1445.7752169934095
29,2022.0,5.0,5.0,15-02-2024,1494.2601333424589
30,2022.0,5.0,6.0,15-02-2024,1535.8589017946445
31,2022.0,5.0,7.0,15-02-2024,1324.3626517799541
32,2022.0,5.0,8.0,15-02-2024,1136.4143779073086
33,2022.0,5.0,9.0,15-02-2024,1186.0142402061401
34,2022.0,5.0,10.0,15-02-2024,1300.6703328351884
35,2022.0,5.0,11.0,15-02-2024,1024.865820427086
36,2022.0,5.0,12.0,15-02-2024,997.6105705062361
37,2022.0,5.0,13.0,15-02-2024,1073.68397585451
38,2022.0,5.0,14.0,15-02-2024,1216.137717063315
39,2022.0,5.0,15.0,15-02-2024,1164.6106152996615
40,2022.0,5.0,16.0,15-02-2024,1159.8429397384627
41,2022.0,5.0,17.0,15-02-2024,1535.754326128903
42,2022.0,5.0,18.0,15-02-2024,1510.5284991688006
43,2022.0,5.0,19.0,15-02-2024,1252.6109377248224
44,2022.0,5.0,20.0,15-02-2024,1261.7469723575907
45,2022.0,5.0,21.0,15-02-2024,1220.1489070634307
46,2022.0,5.0,22.0,15-02-2024,1381.1156272846595
47,2022.0,5.0,23.0,15-02-2024,1218.8881437879193
48,2022.0,5.0,24.0,15-02-2024,1222.655181340341
49,2022.0,5.0,25.0,15-02-2024,1187.649130229598
50,2022.0,5.0,26.0,15-02-2024,1193.3285890937848
51,2022.0,5.0,27.0,15-02-2024,1540.1142193002906
52,2022.0,5.0,28.0,15-02-2024,1698.2238777908628
53,2022.0,5.0,29.0,15-02-2024,1632.5849583983234
54,2022.0,5.0,30.0,15-02-2024,1221.7755535293284
55,2022.0,5.0,31.0,15-02-2024,1643.026265759929
56,2022.0,6.0,1.0,15-02-2024,1506.1726915144466
57,2022.0,6.0,2.0,15-02-2024,1179.2267878773125
58,2022.0,6.0,3.0,15-02-2024,1475.8926319916607
59,2022.0,6.0,4.0,15-02-2024,1335.0349293053407
60,2022.0,6.0,5.0,15-02-2024,1277.8782852895436
61,2022.0,6.0,6.0,15-02-2024,1102.5965189843464
62,2022.0,6.0,7.0,15-02-2024,990.3038070976347
63,2022.0,6.0,8.0,15-02-2024,993.7575695437354
64,2022.0,6.0,9.0,15-02-2024,1066.7288163791275
65,2022.0,6.0,10.0,15-02-2024,1464.7873483349722
66,2022.0,6.0,11.0,15-02-2024,1208.0331993933005
67,2022.0,6.0,12.0,15-02-2024,1189.6939538029471
68,2022.0,6.0,13.0,15-02-2024,1193.1579587780893
69,2022.0,6.0,14.0,15-02-2024,994.5967088542017
70,2022.0,6.0,15.0,15-02-2024,1081.1545601064615
71,2022.0,6.0,16.0,15-02-2024,1055.3523991818543
72,2022.0,6.0,17.0,15-02-2024,1199.883065930783
73,2022.0,6.0,18.0,15-02-2024,1205.77902447848
74,2022.0,6.0,19.0,15-02-2024,1038.2559601644741
75,2022.0,6.0,20.0,15-02-2024,1012.1602028673148
76,2022.0,6.0,21.0,15-02-2024,975.8110576458114
77,2022.0,6.0,22.0,15-02-2024,1164.8509018756329
78,2022.0,6.0,23.0,15-02-2024,1176.4069088748206
79,2022.0,6.0,24.0,15-02-2024,1495.748342572594
80,2022.0,6.0,25.0,15-02-2024,1451.1204742147172
81,2022.0,6.0,26.0,15-02-2024,829.5779407797208
82,2022.0,6.0,27.0,15-02-2024,940.4868399900279
83,2022.0,6.0,28.0,15-02-2024,1295.8251302459364
84,2022.0,6.0,29.0,15-02-2024,1328.4086788151744
85,2022.0,6.0,30.0,15-02-2024,756.0812231310133
86,2022.0,7.0,1.0,15-02-2024,969.8474846723509
87,2022.0,7.0,2.0,15-02-2024,942.5677453442414
88,2022.0,7.0,3.0,15-02-2024,859.297337947851
89,2022.0,7.0,4.0,15-02-2024,843.2326564452433
90,2022.0,7.0,5.0,15-02-2024,890.1612150652813
91,2022.0,7.0,6.0,15-02-2024,923.7986426133821
92,2022.0,7.0,7.0,15-02-2024,983.8833760286774
93,2022.0,7.0,8.0,15-02-2024,1001.1192893976933
94,2022.0,7.0,9.0,15-02-2024,1194.5849652884779
95,2022.0,7.0,10.0,15-02-2024,1107.380553382756
96,2022.0,7.0,11.0,15-02-2024,1610.1424374003234
97,2022.0,7.0,12.0,15-02-2024,1309.900690069421
98,2022.0,7.0,13.0,15-02-2024,1270.4813585466543
99,2022.0,7.0,14.0,15-02-2024,1367.55143512547
100,2022.0,7.0,15.0,15-02-2024,1378.8769749178641
101,2022.0,7.0,16.0,15-02-2024,1476.1360055737932
102,2022.0,7.0,17.0,15-02-2024,1380.9848011358458
103,2022.0,7.0,18.0,15-02-2024,1486.8123885939785
104,2022.0,7.0,19.0,15-02-2024,1448.566497382984
105,2022.0,7.0,20.0,15-02-2024,1528.8861097395727
106,2022.0,7.0,21.0,15-02-2024,1752.3761169514767
107,2022.0,7.0,22.0,15-02-2024,1719.8374537824716
108,2022.0,7.0,23.0,15-02-2024,1558.1767851927773
109,2022.0,7.0,24.0,15-02-2024,1740.1385259320216
110,2022.0,7.0,25.0,15-02-2024,1558.8851682111738
111,2022.0,7.0,26.0,15-02-2024,1395.751377177474
112,2022.0,7.0,27.0,15-02-2024,1732.07624075771
113,2022.0,7.0,28.0,15-02-2024,1468.8001415082456
114,2022.0,7.0,29.0,15-02-2024,1637.7536069701705
115,2022.0,7.0,30.0,15-02-2024,1737.7177371399255
116,2022.0,7.0,31.0,15-02-2024,1403.9089306797848
117,2022.0,8.0,1.0,15-02-2024,1463.923773808857
118,2022.0,8.0,2.0,15-02-2024,1467.0205125856537
119,2022.0,8.0,3.0,15-02-2024,1562.1156411043494
120,2022.0,8.0,4.0,15-02-2024,1522.4648588636705
121,2022.0,8.0,5.0,15-02-2024,1479.5981201505308
122,2022.0,8.0,6.0,15-02-2024,1570.9180010585205
123,2022.0,8.0,7.0,15-02-2024,1574.8876080984821
124,2022.0,8.0,8.0,15-02-2024,1506.0249138905517
125,2022.0,8.0,9.0,15-02-2024,1581.8542293649705
126,2022.0,8.0,10.0,15-02-2024,1456.4608179082115
127,2022.0,8.0,11.0,15-02-2024,1703.1797114954798
128,2022.0,8.0,12.0,15-02-2024,1682.5166857858294
129,2022.0,8.0,13.0,15-02-2024,1695.662678649423
130,2022.0,8.0,14.0,15-02-2024,1695.2694795274492
131,2022.0,8.0,15.0,15-02-2024,1686.7513732951754
132,2022.0,8.0,16.0,15-02-2024,1476.836445500223
133,2022.0,8.0,17.0,15-02-2024,1276.6312678333693
134,2022.0,8.0,18.0,15-02-2024,1320.3715965415045
135,2022.0,8.0,19.0,15-02-2024,1502.199578616399
136,2022.0,8.0,20.0,15-02-2024,1459.8167812938066
137,2022.0,8.0,21.0,15-02-2024,1427.2660373460058
138,2022.0,8.0,22.0,15-02-2024,1408.79795917902
139,2022.0,8.0,23.0,15-02-2024,1527.1919706813173
140,2022.0,8.0,24.0,15-02-2024,1269.2294254416004
141,2022.0,8.0,25.0,15-02-2024,1472.0173682372542
142,2022.0,8.0,26.0,15-02-2024,1402.9510139258532
143,2022.0,8.0,27.0,15-02-2024,1358.6276072206745
144,2022.0,8.0,28.0,15-02-2024,1182.933795965886
145,2022.0,8.0,29.0,15-02-2024,918.3476209775357
146,2022.0,8.0,30.0,15-02-2024,914.2331283068804
147,2022.0,8.0,31.0,15-02-2024,891.3985087109606
148,2022.0,9.0,1.0,15-02-2024,1184.742912361225
149,2022.0,9.0,2.0,15-02-2024,1215.8979734958552
150,2022.0,9.0,3.0,15-02-2024,1093.4881767415825
151,2022.0,9.0,4.0,15-02-2024,898.1244934942811
152,2022.0,9.0,5.0,15-02-2024,950.2061120585746
153,2022.0,9.0,6.0,15-02-2024,1145.1527538414168
154,2022.0,9.0,7.0,15-02-2024,1082.543990761845
155,2022.0,9.0,8.0,15-02-2024,1143.0326419666483
156,2022.0,9.0,9.0,15-02-2024,1229.6141731734162
157,2022.0,9.0,10.0,15-02-2024,1403.817864876635
158,2022.0,9.0,11.0,15-02-2024,1237.2987967321292
159,2022.0,9.0,12.0,15-02-2024,1159.056919779604
160,2022.0,9.0,13.0,15-02-2024,1287.3707494496996
161,2022.0,9.0,14.0,15-02-2024,1290.2019702245502
162,2022.0,9.0,15.0,15-02-2024,1338.8621458974283
163,2022.0,9.0,16.0,15-02-2024,1246.8641678754316
164,2022.0,9.0,17.0,15-02-2024,1148.6108460914963
165,2022.0,9.0,18.0,15-02-2024,1150.207212096635
166,2022.0,9.0,19.0,15-02-2024,1237.0760872686415
167,2022.0,9.0,20.0,15-02-2024,1271.9648082625274
168,2022.0,9.0,21.0,15-02-2024,1264.413909335208
169,2022.0,9.0,22.0,15-02-2024,1262.010410245805
170,2022.0,9.0,23.0,15-02-2024,1371.0011900263514
171,2022.0,9.0,24.0,15-02-2024,1284.4282077888092
172,2022.0,9.0,25.0,15-02-2024,1122.3924673161393
173,2022.0,9.0,26.0,15-02-2024,1298.733020510373
174,2022.0,9.0,27.0,15-02-2024,1014.8487125205253
175,2022.0,9.0,28.0,15-02-2024,1135.4387050063988
176,2022.0,9.0,29.0,15-02-2024,1233.9112679047719
177,2022.0,9.0,30.0,15-02-2024,1256.8592049838633
178,2022.0,10.0,1.0,15-02-2024,1254.2121180184995
179,2022.0,10.0,2.0,15-02-2024,1378.6951104934712
180,2022.0,10.0,3.0,15-02-2024,1177.5413485179952
181,2022.0,10.0,4.0,15-02-2024,1298.2432873031075
182,2022.0,10.0,5.0,15-02-2024,1341.5561482568583
183,2022.0,10.0,6.0,15-02-2024,1367.4855004286437
184,2022.0,10.0,7.0,15-02-2024,1507.1795803965465
185,2022.0,10.0,8.0,15-02-2024,1415.1081632945018
186,2022.0,10.0,9.0,15-02-2024,1435.3309873118153
187,2022.0,10.0,10.0,15-02-2024,1395.7298134688476
188,2022.0,10.0,11.0,15-02-2024,1381.1187998491741
189,2022.0,10.0,12.0,15-02-2024,1363.8239274997527
190,2022.0,10.0,13.0,15-02-2024,1399.1770213704528
191,2022.0,10.0,14.0,15-02-2024,1450.0838794193985
192,2022.0,10.0,15.0,15-02-2024,1427.3578495967804
193,2022.0,10.0,16.0,15-02-2024,1391.8821767963282
194,2022.0,10.0,17.0,15-02-2024,1418.8405524080993
195,2022.0,10.0,18.0,15-02-2024,1285.8931224051446
196,2022.0,10.0,19.0,15-02-2024,1498.4375861418728
197,2022.0,10.0,20.0,15-02-2024,1423.7518237868908
198,2022.0,10.0,21.0,15-02-2024,1539.5354903115542
199,2022.0,10.0,22.0,15-02-2024,1612.1260639891634
200,2022.0,10.0,23.0,15-02-2024,1632.7246797280077
201,2022.0,10.0,24.0,15-02-2024,1581.167029223141
202,2022.0,10.0,25.0,15-02-2024,1582.94775737857
203,2022.0,10.0,26.0,15-02-2024,1726.2954151092517
204,2022.0,10.0,27.0,15-02-2024,1531.1876510846587
205,2022.0,10.0,28.0,15-02-2024,1331.731946970245
206,2022.0,10.0,29.0,15-02-2024,1464.03751092091
207,2022.0,10.0,30.0,15-02-2024,1435.352078103659
208,2022.0,10.0,31.0,15-02-2024,1523.8267916406576
209,2022.0,11.0,1.0,15-02-2024,1708.4318416467913
210,2022.0,11.0,2.0,15-02-2024,1652.441199849784
211,2022.0,11.0,3.0,15-02-2024,1691.6912008017496
212,2022.0,11.0,4.0,15-02-2024,1641.0761350794771
213,2022.0,11.0,5.0,15-02-2024,1531.85229590277
214,2022.0,11.0,6.0,15-02-2024,1333.398170026477
215,2022.0,11.0,7.0,15-02-2024,1374.9023769919472
216,2022.0,11.0,8.0,15-02-2024,1409.7231069316697
217,2022.0,11.0,9.0,15-02-2024,1377.6455431642312
218,2022.0,11.0,10.0,15-02-2024,1435.976803215061
219,2022.0,11.0,11.0,15-02-2024,1499.6944984346367
220,2022.0,11.0,12.0,15-02-2024,1281.138090591224
221,2022.0,11.0,13.0,15-02-2024,1301.7901887001237
222,2022.0,11.0,14.0,15-02-2024,1328.769875547893
223,2022.0,11.0,15.0,15-02-2024,1220.3464704474109
224,2022.0,11.0,16.0,15-02-2024,1342.2423450781778
225,2022.0,11.0,17.0,15-02-2024,1406.998199312682
226,2022.0,11.0,18.0,15-02-2024,1419.1693870550605
227,2022.0,11.0,19.0,15-02-2024,1338.0961982300805
228,2022.0,11.0,20.0,15-02-2024,1337.6866102692297
229,2022.0,11.0,21.0,15-02-2024,1431.8726123102917
230,2022.0,11.0,22.0,15-02-2024,1307.2682422998632
231,2022.0,11.0,23.0,15-02-2024,1477.467048807619
232,2022.0,11.0,24.0,15-02-2024,1422.0060124149495
233,2022.0,11.0,25.0,15-02-2024,1605.8988112564723
234,2022.0,11.0,26.0,15-02-2024,1445.4474391595072
235,2022.0,11.0,27.0,15-02-2024,1467.9836706897372
236,2022.0,11.0,28.0,15-02-2024,1445.7895021539389
237,2022.0,11.0,29.0,15-02-2024,1481.6476286888667
238,2022.0,11.0,30.0,15-02-2024,1358.408641811398
239,2022.0,12.0,1.0,15-02-2024,1334.3732833405672
240,2022.0,12.0,2.0,15-02-2024,1301.0381398655509
241,2022.0,12.0,3.0,15-02-2024,1407.1334946337613
242,2022.0,12.0,4.0,15-02-2024,1502.121907469939
243,2022.0,12.0,5.0,15-02-2024,1511.0099974643695
244,2022.0,12.0,6.0,15-02-2024,1435.1124688512311
245,2022.0,12.0,7.0,15-02-2024,1477.0812060683252
246,2022.0,12.0,8.0,15-02-2024,1534.265301560795
247,2022.0,12.0,9.0,15-02-2024,1485.123287262874
248,2022.0,12.0,10.0,15-02-2024,1513.4533264543466
249,2022.0,12.0,11.0,15-02-2024,1339.3713884637095
250,2022.0,12.0,12.0,15-02-2024,1201.4730730745175
251,2022.0,12.0,13.0,15-02-2024,1103.6404617757894
252,2022.0,12.0,14.0,15-02-2024,1111.224144177333
253,2022.0,12.0,15.0,15-02-2024,1135.6205661106674
254,2022.0,12.0,16.0,15-02-2024,1312.8086312257715
255,2022.0,12.0,17.0,15-02-2024,1498.2830679495892
256,2022.0,12.0,18.0,15-02-2024,1218.582297198925
257,2022.0,12.0,19.0,15-02-2024,1321.1260658325104
258,2022.0,12.0,20.0,15-02-2024,1242.6419024926474
259,2022.0,12.0,21.0,15-02-2024,1172.1503078702951
260,2022.0,12.0,22.0,15-02-2024,998.4114507398641
261,2022.0,12.0,23.0,15-02-2024,1049.327677062735
262,2022.0,12.0,24.0,15-02-2024,1142.1103079071547
263,2022.0,12.0,25.0,15-02-2024,1178.281196401744
264,2022.0,12.0,26.0,15-02-2024,1357.2270625703134
265,2022.0,12.0,27.0,15-02-2024,1378.2711420842222
266,2022.0,12.0,28.0,15-02-2024,1465.7061295544117
267,2022.0,12.0,29.0,15-02-2024,1604.3997230216412
268,2022.0,12.0,30.0,15-02-2024,1544.401786161875
269,2022.0,12.0,31.0,15-02-2024,1604.602825273239
270,2023.0,1.0,1.0,15-02-2024,1662.253982021334
271,2023.0,1.0,2.0,15-02-2024,1754.080511931258
