name;datetime;tempmax;tempmin;temp;tempC_DE
Alemania;06/04/2022;53.9;45.7;50.5;10.3
Alemania;07/04/2022;57.3;43.8;50.7;10.4
Alemania;08/04/2022;48.2;38.9;44.7;7.1
Alemania;09/04/2022;48.5;36.7;42;5.6
Alemania;10/04/2022;46.4;36.5;40.8;4.9
Alemania;11/04/2022;53.4;35.2;44.6;7
Alemania;12/04/2022;61.6;34.4;49;9.4
Alemania;13/04/2022;70.7;43.2;56.8;13.8
Alemania;14/04/2022;61.7;47.3;54.4;12.4
Alemania;15/04/2022;52.4;42.4;47.1;8.4
Alemania;16/04/2022;54.8;35.7;44.4;6.9
Alemania;17/04/2022;59;32.7;46.8;8.2
Alemania;18/04/2022;59.4;36.3;48.5;9.2
Alemania;19/04/2022;55.9;38.5;47.9;8.8
Alemania;20/04/2022;56.9;42.4;48.9;9.4
Alemania;21/04/2022;53.5;44.6;49;9.4
Alemania;22/04/2022;55.6;41.8;49.5;9.7
Alemania;23/04/2022;62.6;40.9;52.5;11.4
Alemania;24/04/2022;62.3;41.1;52.3;11.3
Alemania;25/04/2022;55.7;41.5;47.9;8.8
Alemania;26/04/2022;61.7;39.3;51.6;10.9
Alemania;27/04/2022;62.1;43.4;54.1;12.3
Alemania;28/04/2022;62.2;41.2;52.4;11.3
Alemania;29/04/2022;65.1;40.5;54.3;12.4
Alemania;30/04/2022;65.9;45.1;55.5;13.1
Alemania;01/05/2022;59.4;44.1;53.1;11.7
Alemania;02/05/2022;65.6;44;56;13.3
Alemania;03/05/2022;64.2;45.7;55.2;12.9
Alemania;04/05/2022;66;44;56.7;13.7
Alemania;05/05/2022;64.8;52.6;58.1;14.5
Alemania;06/05/2022;66.8;43.4;56.9;13.8
Alemania;07/05/2022;71.3;50.5;62;16.7
Alemania;08/05/2022;66.8;52.8;59.5;15.3
Alemania;09/05/2022;70.1;43.8;57.6;14.2
Alemania;10/05/2022;79;49.3;65.8;18.8
Alemania;11/05/2022;82.4;60.9;71.2;21.8
Alemania;12/05/2022;66.7;58.1;61.9;16.6
Alemania;13/05/2022;64.3;49;58.7;14.8
Alemania;14/05/2022;67.2;51.8;60;15.6
Alemania;15/05/2022;70.8;45.4;59;15
Alemania;16/05/2022;77.5;50.2;64.6;18.1
Alemania;17/05/2022;70.4;55;63.2;17.3
Alemania;18/05/2022;75.6;51.9;64.4;18
Alemania;19/05/2022;83.2;56.5;70.7;21.5
Alemania;20/05/2022;77.2;62;69.2;20.7
Alemania;21/05/2022;64.2;55.7;60.5;15.8
Alemania;22/05/2022;66.1;50.4;58;14.4
Alemania;23/05/2022;72.7;49.7;62.5;16.9
Alemania;24/05/2022;70.7;57.8;64;17.8
Alemania;25/05/2022;68.6;48.9;60.2;15.7
Alemania;26/05/2022;68.4;56.1;62.3;16.8
Alemania;27/05/2022;62.2;51.6;58.1;14.5
Alemania;28/05/2022;58.7;47.4;52.3;11.3
Alemania;29/05/2022;57.5;49.1;53.3;11.8
Alemania;30/05/2022;61;49.5;54;12.2
Alemania;31/05/2022;68.1;46.6;57.7;14.3
Alemania;01/06/2022;66.9;53.6;59;15
Alemania;02/06/2022;66.3;50;58.2;14.6
Alemania;03/06/2022;77.8;46;63.7;17.6
Alemania;04/06/2022;75.3;59.4;66.7;19.3
Alemania;05/06/2022;81.4;50.1;67.8;19.9
Alemania;06/06/2022;76.6;59.8;68.7;20.4
Alemania;07/06/2022;75.5;55.6;65.9;18.8
Alemania;08/06/2022;77.4;57.4;68.4;20.2
Alemania;09/06/2022;70.2;61.4;65.2;18.4
Alemania;10/06/2022;77.4;55.2;66.7;19.3
Alemania;11/06/2022;80;61.9;71.8;22.1
Alemania;12/06/2022;78.9;59.5;69.1;20.6
Alemania;13/06/2022;68;57.4;62.7;17.1
Alemania;14/06/2022;68.3;50.3;59.2;15.1
Alemania;15/06/2022;78.1;47.5;64.5;18.1
Alemania;16/06/2022;75.7;56.4;66.5;19.2
Alemania;17/06/2022;78.4;55;68;20
Alemania;18/06/2022;92.9;62.1;79.1;26.2
Alemania;19/06/2022;98;61.4;78.1;25.6
Alemania;20/06/2022;64;55.4;58.3;14.6
Alemania;21/06/2022;75.5;51.2;63.5;17.5
Alemania;22/06/2022;81.5;53.3;69.4;20.8
Alemania;23/06/2022;85.8;57.6;73.4;23
Alemania;24/06/2022;89.3;64.5;76.8;24.9
Alemania;25/06/2022;83.9;66.1;74.3;23.5
Alemania;26/06/2022;89.6;65.3;77.9;25.5
Alemania;27/06/2022;94.9;68.4;81.7;27.6
Alemania;28/06/2022;78.3;62.7;70.8;21.6
Alemania;29/06/2022;75.9;61.6;70;21.1
Alemania;30/06/2022;81.8;66.6;73.4;23
Alemania;01/07/2022;78.9;61.5;67.6;19.8
Alemania;02/07/2022;79.3;55.1;68.3;20.2
Alemania;03/07/2022;85.1;59.7;74.1;23.4
Alemania;04/07/2022;76.9;62.8;70.4;21.3
Alemania;05/07/2022;77.1;58;68;20
Alemania;06/07/2022;68;58.6;63.7;17.6
Alemania;07/07/2022;67.4;54.9;59.7;15.4
Alemania;08/07/2022;68.2;57.5;62.2;16.8
Alemania;09/07/2022;68.4;55.1;61.6;16.4
Alemania;10/07/2022;66.9;55.5;60.8;16
Alemania;11/07/2022;72.6;52.9;63.7;17.6
Alemania;12/07/2022;79.5;53.3;68.3;20.2
Alemania;13/07/2022;86.5;60.9;74;23.3
Alemania;14/07/2022;75.3;60;68;20
Alemania;15/07/2022;67.9;54.1;61.8;16.6
Alemania;16/07/2022;70.6;58;64;17.8
Alemania;17/07/2022;74.4;51.5;62.9;17.2
Alemania;18/07/2022;83.1;56.1;71.2;21.8
Alemania;19/07/2022;95.6;59.3;79.1;26.2
Alemania;20/07/2022;99.2;66.8;84.6;29.2
Alemania;21/07/2022;84.2;67.6;76.8;24.9
Alemania;22/07/2022;75.7;64.9;70.1;21.2
Alemania;23/07/2022;74.8;58.5;65.9;18.8
