name;datetime;tempmax;tempmin;temp;tempC_UK
united kingdom;06/04/2022;56.6;48.8;51.8;11
united kingdom;07/04/2022;57.4;44.7;50.3;10.2
united kingdom;08/04/2022;53.3;38.4;45.4;7.4
united kingdom;09/04/2022;54.6;37.1;46.2;7.9
united kingdom;10/04/2022;56;35.8;48.2;9
united kingdom;11/04/2022;63.2;44;53;11.7
united kingdom;12/04/2022;65.5;51.2;57.2;14
united kingdom;13/04/2022;63.8;51;57.4;14.1
united kingdom;14/04/2022;67.4;47.5;57.6;14.2
united kingdom;15/04/2022;73.1;48.3;59.6;15.3
united kingdom;16/04/2022;65.6;48.3;56;13.3
united kingdom;17/04/2022;66.8;46.7;56.6;13.7
united kingdom;18/04/2022;63.2;46.7;55.1;12.8
united kingdom;19/04/2022;60.9;47.9;55.1;12.8
united kingdom;20/04/2022;64.7;46.1;54.7;12.6
united kingdom;21/04/2022;65.6;46.1;55.4;13
united kingdom;22/04/2022;60;48.8;54.2;12.3
united kingdom;23/04/2022;62.3;50.6;55.9;13.3
united kingdom;24/04/2022;64.7;47.6;55.8;13.2
united kingdom;25/04/2022;58.3;44.9;50.7;10.4
united kingdom;26/04/2022;60.2;43;51.6;10.9
united kingdom;27/04/2022;52.4;45.8;49.4;9.7
united kingdom;28/04/2022;57.3;44.9;51;10.6
united kingdom;29/04/2022;52.1;44.8;48.9;9.4
united kingdom;30/04/2022;64.6;41.6;53.1;11.7
united kingdom;01/05/2022;58.7;50.6;54.3;12.4
united kingdom;02/05/2022;62.3;48.3;55.1;12.8
united kingdom;03/05/2022;58.4;52.1;54.7;12.6
united kingdom;04/05/2022;63.2;51.5;56;13.3
united kingdom;05/05/2022;67.4;45.2;57.3;14.1
united kingdom;06/05/2022;73.1;50.6;60.9;16.1
united kingdom;07/05/2022;65.4;55.1;59.3;15.2
united kingdom;08/05/2022;65;50.6;56.9;13.8
united kingdom;09/05/2022;71.7;47;60.1;15.6
united kingdom;10/05/2022;68.1;58.4;62;16.7
united kingdom;11/05/2022;60.2;52.1;56.7;13.7
united kingdom;12/05/2022;64.7;47;56.1;13.4
united kingdom;13/05/2022;69.9;51.2;59.2;15.1
united kingdom;14/05/2022;73.7;47.6;60.8;16
united kingdom;15/05/2022;63.6;57.5;60.6;15.9
united kingdom;16/05/2022;69.9;55.1;62.1;16.7
united kingdom;17/05/2022;78;52.8;66.8;19.3
united kingdom;18/05/2022;73.5;53.9;64.7;18.2
united kingdom;19/05/2022;71.7;57.8;63.8;17.7
united kingdom;20/05/2022;64.1;54.6;58.3;14.6
united kingdom;21/05/2022;68.1;51;59.4;15.2
united kingdom;22/05/2022;74.5;50.6;62.8;17.1
united kingdom;23/05/2022;65.9;53.9;59.6;15.3
united kingdom;24/05/2022;62.9;50.3;55.2;12.9
united kingdom;25/05/2022;65.4;49.2;57.3;14.1
united kingdom;26/05/2022;67.4;50.9;60.1;15.6
united kingdom;27/05/2022;68.6;55.7;61.7;16.5
united kingdom;28/05/2022;64.1;50.2;57.5;14.2
united kingdom;29/05/2022;61;47.5;54.5;12.5
united kingdom;30/05/2022;59.1;44.3;52.1;11.2
united kingdom;31/05/2022;61;48.5;52.9;11.6
united kingdom;01/06/2022;64.7;46.1;55.2;12.9
united kingdom;02/06/2022;67.4;49.3;59.6;15.3
united kingdom;03/06/2022;74;52.8;62.9;17.2
united kingdom;04/06/2022;69.5;55.1;60.6;15.9
united kindom;05/06/2022;60.2;51.5;56.1;13.4
united kindom;06/06/2022;64.5;53.9;58;14.4
united kindom;07/06/2022;70;50.6;61.9;16.6
united kindom;08/06/2022;71.8;57.8;64.2;17.9
united kindom;09/06/2022;68.3;53.9;61.6;16.4
united kindom;10/06/2022;72.2;60.5;65.5;18.6
united kindom;11/06/2022;71.3;55.1;63.7;17.6
united kindom;12/06/2022;71.9;53.7;62.9;17.2
united kindom;13/06/2022;69.5;52.8;61.6;16.4
united kindom;14/06/2022;76.3;52.4;65.4;18.6
united kindom;15/06/2022;81.2;54.6;68.3;20.2
united kindom;16/06/2022;83.9;56.4;71.5;21.9
united kindom;17/06/2022;89;62.3;76.7;24.8
united kindom;18/06/2022;75.5;56.9;66.7;19.3
united kindom;19/06/2022;66.5;51.5;59.2;15.1
united kindom;20/06/2022;72.2;54.6;62.7;17.1
united kindom;21/06/2022;77.3;52.1;65.3;18.5
united kindom;22/06/2022;79.8;55.6;68.3;20.2
united kindom;23/06/2022;77.1;58.2;66.9;19.4
united kindom;24/06/2022;70.4;59.1;64.4;18
united kindom;25/06/2022;70;56.6;62.5;16.9
united kindom;26/06/2022;70.4;54.7;62.9;17.2
united kindom;27/06/2022;67.3;55.1;61;16.1
united kindom;28/06/2022;70.8;53.8;62.1;16.7
united kindom;29/06/2022;69.5;60.2;63.3;17.4
united kindom;30/06/2022;69.1;54.2;60.7;15.9
united kindom;01/07/2022;70;53;60.9;16.1
united kindom;02/07/2022;71.8;55.1;63.3;17.4
united kindom;03/07/2022;71.9;53.8;63.7;17.6
united kindom;04/07/2022;72.7;54.2;64.5;18.1
